ICS PAS (Warszawa),software1-P,96.68
Stanford (Stanford),software2,96.48
UDPipe Future (Praha),software1-P,96.39
CEA LIST (Paris),software1-P,95.97
Uppsala (Uppsala),software1-P,95.8
TurkuNLP (Turku),software1-P,95.71
NLP-Cube (București),software1-P,95.64
KParse (İstanbul),software1-P,94.8
AntNLP (Shanghai),software1-P,93.9
BASELINE UDPipe 1.2 (Praha),software1-P,93.9
BOUN (İstanbul),software2-P,93.9
CUNI x-ling (Praha),software1-P,93.9
Fudan (Shanghai),software5-P,93.9
HIT-SCIR (Harbin),software1-P,93.9
HUJI (Yerushalayim),software1-P,93.9
LATTICE (Paris),software1-P,93.9
LeisureX (Shanghai),software1-P,93.9
ONLP lab (Ra'anana),software3-P,93.9
ParisNLP (Paris),software1-P,93.9
Phoenix (Shanghai),software1-P,93.9
SLT-Interactions (Bengaluru),software2-P,93.9
UniMelb (Melbourne),software1-P,93.9
iParse (Pittsburgh),software1-P,93.9
ArmParser (Yerevan),software1-P,91.61
IBM NY (Yorktown Heights),software1-P,61.57
SParse (İstanbul),software1-P,0.0
