TurkuNLP (Turku),software1-P,97.54
ICS PAS (Warszawa),software1-P,97.51
UDPipe Future (Praha),software1-P,97.38
Stanford (Stanford),software2,96.85
AntNLP (Shanghai),software1-P,96.6
BASELINE UDPipe 1.2 (Praha),software1-P,96.6
BOUN (İstanbul),software2-P,96.6
CEA LIST (Paris),software1-P,96.6
CUNI x-ling (Praha),software1-P,96.6
HUJI (Yerushalayim),software1-P,96.6
KParse (İstanbul),software1-P,96.6
LATTICE (Paris),software1-P,96.6
LeisureX (Shanghai),software1-P,96.6
ParisNLP (Paris),software1-P,96.6
Phoenix (Shanghai),software1-P,96.6
SLT-Interactions (Bengaluru),software2-P,96.6
UniMelb (Melbourne),software1-P,96.6
iParse (Pittsburgh),software1-P,96.6
ArmParser (Yerevan),software1-P,96.13
HIT-SCIR (Harbin),software1-P,96.07
NLP-Cube (București),software1-P,94.65
Fudan (Shanghai),software5-P,89.18
ONLP lab (Ra'anana),software3-P,70.86
IBM NY (Yorktown Heights),software1-P,65.66
Uppsala (Uppsala),software1-P,65.46
SParse (İstanbul),software1-P,0.0
